COD IBGE;UF;Município;Populaçao;RENDA1;RENDA2;EDUC1;EDUC2;IEOC;ENDcont1;ENDcont2;IGD;IGDu;IGDe;IGDm;IDI;CP1;CP2;N;NE;CO;S;SE;ESQ;DIR;CENTRO;CPP;CPG;ME;TG;TA;TP;BP
4117255;PR;NOVA PRATA DO IGUAÇU;10710;659.1;0.4632;9.8;0.747823876;1.199453426;0.013979889;0.262888562;0.832948384;0.492298313;0.252322996;0.088327075;0.204600271;0.558295923;2.263959182;0;0;0;1;0;0;0;1;0;0;1;3.9;6.964285714;0;0
2922854;BA;NOVA REDENÇÃO;9453;220.57;0.5095;27.3;0.623032747;1.124780559;0.81297845;0.940670742;1.075380711;0.577273193;0.116275636;0.381831883;0.02248643;0.497991488;1.991998095;0;1;0;0;0;0;0;1;0;0;1;5.8;5.714285714;8.965517241;0
4313359;RS;NOVA ROMA DO SUL;3543;1114.28;0.4446;5.1;0.830227691;1.378911622;-0.178594468;0.565966859;0.824398657;0.410299604;0.375090801;0.039008252;0.175637458;0.49000302;1.960795925;0;0;0;1;0;1;0;0;1;0;1;9.3;9.642857143;10;6.666666667
1715002;TO;NOVA ROSALÂNDIA;4066;286.16;0.5437;14.5;0.814341312;1.229981176;0.003628982;0.093801424;0.960917706;0.74028378;0.088774646;0.131859279;0.12554463;0.642335227;2.795914151;1;0;0;0;0;1;0;0;0;0;0;7.8;8.214285714;7.586206897;6.666666667
5106190;MT;NOVA SANTA HELENA;3550;819.84;0.6421;13.9;0.78542793;1.267388586;-0.061031872;0.468008573;0.851858333;0.481346491;0.273840013;0.096671829;0.068323237;0.499883871;1.999535593;0;0;1;0;0;0;0;1;0;0;0;8.7;10;5.517241379;10
4117222;PR;NOVA SANTA ROSA;8044;757.05;0.4148;2.6;0.847065079;1.280054154;-0.121159867;0.026780471;0.966035538;0.372214824;0.497934712;0.095886003;0.133379718;0.494909595;1.979843589;0;0;0;1;0;0;1;0;0;0;1;9.2;9.464285714;10;6.666666667
3145208;MG;NOVA SERRANA;87260;647.58;0.3606;4.5;0.817446112;1.283826882;-0.767335535;0.363776552;0.771930998;0.309192962;0.252108424;0.210629612;0.042247629;0.617332562;2.613235147;0;0;0;0;1;0;0;1;0;0;1;2.9;1.964285714;6.206896552;0
2922904;BA;NOVA SOURE;25813;238.53;0.5786;30.8;0.611727701;1.083427965;0.438582851;0.564014095;1.011610684;0.525787449;0.092763691;0.393059544;0.02067064;0.48983262;1.960141003;0;1;0;0;0;1;0;0;0;0;0;4.3;2.678571429;9.655172414;0
4117271;PR;NOVA TEBAS;6943;406.14;0.5017;17.2;0.749831135;1.217406998;-0.006648205;0.08376608;0.967866916;0.512470721;0.340810064;0.114586131;0.054301902;0.473839006;1.900558977;0;0;0;1;0;0;0;1;0;0;0;3.9;3.392857143;6.896551724;0
4211504;SC;NOVA TRENTO;13379;825.22;0.3632;3.1;0.8114491;1.183451209;0.086119967;0.51508282;0.710527228;0.351706461;0.244593403;0.114227363;0.069232283;0.651183067;2.866833302;0;0;0;1;0;0;1;0;0;0;1;9.7;9.464285714;10;10
5106240;MT;NOVA UBIRATÃ;10508;579.13;0.5216;7.7;0.737837409;1.1855366;-0.121000914;0.176936093;0.838480763;0.305420606;0.399131421;0.133928736;0.059421117;0.46451552;1.867467756;0;0;1;0;0;0;0;1;0;0;1;6.2;8.392857143;5.172413793;0
3203908;ES;NOVA VENÉCIA;49932;584.21;0.4865;11.8;0.849036615;1.169993704;-0.065381506;0.143645082;0.965891363;0.428282055;0.314806786;0.222802523;0.070248356;0.483958013;1.937826814;0;0;0;0;1;1;0;0;0;0;1;6.3;7.678571429;1.724137931;10
5106257;MT;NOVA XAVANTINA;20273;649.29;0.5342;9.8;0.732647803;1.435880276;-0.024408531;0.686051311;0.789995587;0.412820654;0.266302148;0.110872785;0.090783479;0.475597177;1.906931;0;0;1;0;0;0;0;1;0;0;0;8.7;8.035714286;9.310344828;10
